,sector,industry,market_cap,country,full_name,revenue_growth,earnings_growth,earnings_quarterly_growth,beta,52week_high,52week_low,52week_change,recommendation,recommendation_mean,target_mean_price,target_high_price,target_low_price,error
IBM,Technology,Information Technology Services,141274801333.23047,United States,International Business Machines Corporation,0.091,,,0.688,319.35,204.07,0.40847373,hold,2.55,287.09332,350.0,198.0,
CSCO,Technology,Communication Equipment,193817322000.9961,United States,"Cisco Systems, Inc.",0.076,0.186,0.179,0.869,74.84,52.11,0.24969757,buy,2.03846,76.95762,88.0,61.0,
WFC,Financial Services,Banks - Diversified,171338839822.76953,United States,Wells Fargo & Company,0.075,0.169,0.093,1.106,88.5,58.42,0.20229065,buy,2.03846,93.54167,101.0,79.0,
CAT,Industrials,Farm & Heavy Construction Machinery,145941188137.21484,United States,Caterpillar Inc.,0.095,-0.036,-0.067,1.562,596.21,267.3,0.31351948,buy,2.26923,564.8704,730.0,380.0,
MU,Technology,Semiconductors,93538283045.4961,United States,"Micron Technology, Inc.",0.46,2.569,2.609,1.552,239.88,61.54,0.9496558,buy,1.5641,206.38889,275.0,107.0,
MS,Financial Services,Capital Markets,143650809961.38672,United States,Morgan Stanley,0.191,0.489,0.446,1.217,167.13,94.33,0.24731922,buy,2.48,168.15,186.0,125.0,
AXP,Financial Services,Credit Services,133470111636.0,United States,American Express Company,0.122,0.186,0.158,1.147,367.8151,220.43,0.22133756,hold,2.51724,350.86957,400.0,265.0,
CRM,Technology,Software - Application,252067962158.20312,United States,"Salesforce, Inc.",0.098,0.333,0.32,1.243,369.0,226.48,-0.17093515,buy,1.64815,331.8147,430.0,221.0,
GS,Financial Services,Capital Markets,120968971338.8672,United States,"The Goldman Sachs Group, Inc.",0.207,0.458,0.371,1.35,825.25,439.38,0.32694054,hold,2.58333,801.8421,898.0,630.0,
RTX,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
PM,Consumer Defensive,Tobacco,135558251453.20312,United States,Philip Morris International Inc.,0.094,0.131,0.128,0.444,186.69,116.12,0.17835772,buy,1.72222,185.75,220.0,158.0,
TMUS,Communication Services,Telecom Services,180807184746.0937,United States,"T-Mobile US, Inc.",0.089,-0.077,-0.113,0.435,276.49,202.73,-0.111546576,buy,1.85714,272.56,309.0,200.0,
APP,Communication Services,Advertising Agencies,13381708550.006836,United States,AppLovin Corporation,0.77,1.688,1.644,2.501,745.61,166.97,2.6112726,buy,1.88889,649.9583,860.0,360.0,
MCD,Consumer Cyclical,Restaurants,206427782230.3184,United States,McDonald's Corporation,0.054,0.121,0.114,0.525,326.32,276.53,0.017721057,buy,2.27027,330.33334,375.0,250.0,
ABT,Healthcare,Medical Devices,183865422357.15527,United States,Abbott Laboratories,0.069,0.0,-0.001,0.719,141.23,110.86,0.07705474,buy,1.75862,144.46616,162.0,122.0,
TMO,Healthcare,Diagnostics & Research,203958406980.7129,United States,Thermo Fisher Scientific Inc.,0.049,0.005,-0.009,0.906,610.97,385.46,0.009934306,buy,1.68,613.57904,675.0,533.16,
MRK,Healthcare,Drug Manufacturers - General,261390479339.7422,United States,"Merck & Co., Inc.",0.037,0.868,0.832,0.319,105.07,73.31,-0.16747743,buy,2.03704,101.54292,137.0,82.0,
LRCX,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
DIS,Communication Services,Entertainment,163079526286.01074,United States,The Walt Disney Company,0.021,1.042,1.008,1.491,124.69,80.1,0.12721205,buy,1.64516,134.21786,160.0,77.0,
LIN,Basic Materials,Specialty Chemicals,194850423842.70312,United Kingdom,Linde plc,0.031,0.27,0.245,0.857,486.38,408.65,-0.09659988,buy,1.6,508.6087,576.0,381.0,
PEP,Consumer Defensive,Beverages - Non-Alcoholic,220304831935.1914,United States,"PepsiCo, Inc.",0.027,-0.108,-0.112,0.423,167.41,127.6,-0.13241452,hold,2.75,154.04546,172.0,115.0,
ISRG,Healthcare,Medical Instruments & Supplies,118775004762.69531,United States,"Intuitive Surgical, Inc.",0.229,0.25,0.247,1.692,616.0,425.0,0.045136213,buy,1.9697,593.0614,700.0,378.0,
AMAT,Technology,Semiconductor Equipment & Materials,132582211149.32228,United States,"Applied Materials, Inc.",0.077,0.083,0.043,1.674,242.5,123.74,0.22754908,buy,1.89189,221.80646,265.0,160.0,
UBER,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
QCOM,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
NOW,Technology,Software - Application,144869310599.4297,United States,"ServiceNow, Inc.",0.218,0.159,0.162,0.961,1198.09,678.66,-0.107503414,strong_buy,1.44444,1154.5363,1332.0,766.0,
INTU,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
C,Financial Services,Banks - Diversified,92354058205.5,United States,Citigroup Inc.,0.109,0.231,0.159,1.198,105.59,55.51,0.46327686,buy,1.81818,114.09524,134.0,82.0,
INTC,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
ANET,Technology,Computer Hardware,18316789822.769165,United States,Arista Networks Inc,0.304,0.346,0.336,1.392,164.94,59.43,0.4515977,buy,1.57143,162.795,185.0,136.08,
T,Communication Services,Telecom Services,108136819215.25047,United States,AT&T Inc.,0.016,,,0.598,29.79,21.38,0.09498203,buy,1.88,30.6413,34.0,26.0,
AMGN,Healthcare,Drug Manufacturers - General,145937849086.90625,United States,Amgen Inc.,0.094,0.92,0.92,0.461,335.88,253.3,-0.07797009,buy,2.41935,311.3023,400.0,180.0,
NEE,Utilities,Utilities - Regulated Electric,118226749242.89062,United States,"NextEra Energy, Inc.",0.053,0.311,0.316,0.738,87.53,61.72,0.096215725,buy,1.91304,91.0,103.0,56.0,
APH,Technology,Electronic Components,29238556235.88428,United States,Amphenol Corporation,0.534,1.021,1.061,1.194,142.5,56.45,0.8941388,buy,1.82353,144.11765,163.0,85.0,
SCHW,Financial Services,Capital Markets,122414947927.14258,United States,The Charles Schwab Corporation,0.266,0.775,0.675,0.953,99.59,65.88,0.23881185,buy,1.68182,111.95,139.0,88.0,
VZ,Communication Services,Telecom Services,139021506057.6836,United States,Verizon Communications Inc.,0.015,0.5,0.497,0.324,47.36,37.59,-0.044703603,buy,2.29167,47.525,58.0,43.0,
BLK,Financial Services,Asset Management,116141800231.0791,United States,"BlackRock, Inc.",0.252,-0.227,-0.189,1.481,1219.94,773.74,0.029218674,none,,1334.4667,1486.0,1170.0,
KLAC,Technology,Semiconductor Equipment & Materials,77787493534.91211,United States,KLA Corporation,0.13,0.208,0.185,1.433,1284.47,551.33,0.78223276,buy,2.32143,1271.8846,1500.0,950.0,
TJX,Consumer Cyclical,Apparel Retail,104463690323.48631,United States,"The TJX Companies, Inc.",0.069,0.146,0.131,0.769,146.46,112.1,0.22848737,strong_buy,1.45455,151.84212,172.0,90.0,
BKNG,Consumer Cyclical,Travel Services,122002654783.88672,United States,Booking Holdings Inc.,0.127,0.135,0.092,1.251,5839.41,4096.23,-0.0018855333,buy,1.75,6210.108,7447.0,5300.0,
ACN,Technology,Information Technology Services,213488805169.4336,Ireland,Accenture plc,0.073,-0.155,-0.161,1.262,398.35,229.4,-0.31794572,buy,2.07692,277.6008,330.0,205.0,
GILD,Healthcare,Drug Manufacturers - General,94964315112.0,United States,"Gilead Sciences, Inc.",0.03,1.43,1.436,0.334,124.61,86.08,0.34147668,buy,1.71429,129.5136,150.0,105.0,
GEV,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,No price data for GEV around 2024-01-01 00:00:00
SPGI,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
ETN,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
BA,Industrials,Aerospace & Defense,157693313291.33203,United States,The Boeing Company,0.304,,,1.17,242.69,128.88,0.3458141,buy,1.52,251.81818,287.0,170.0,
TXN,Technology,Semiconductors,145790472192.5,United States,Texas Instruments Incorporated,0.142,0.007,0.001,0.994,221.69,139.95,-0.25868726,buy,2.5,189.55727,245.0,125.0,
DHR,Healthcare,Diagnostics & Research,169380811186.79297,United States,Danaher Corporation,0.044,0.134,0.11,0.928,258.23,171.0,-0.13694704,strong_buy,1.3913,254.4,310.0,220.0,
BSX,Healthcare,Medical Devices,84690493961.92383,United States,Boston Scientific Corporation,0.203,0.6,0.61,0.674,109.5,85.03,0.14345205,strong_buy,1.32353,126.29531,140.0,99.0,
PANW,Technology,Software - Infrastructure,46487832769.77539,United States,"Palo Alto Networks, Inc.",0.158,-0.277,-0.29,0.772,223.61,144.15,0.11386883,buy,1.77778,217.67,250.0,131.0,
ADBE,Technology,Software - Application,271631968884.2773,United States,Adobe Inc.,0.107,0.112,0.052,1.536,557.9,327.5,-0.33571696,buy,2.025,452.75342,605.0,280.0,
COF,Financial Services,Credit Services,48692105874.288086,United States,Capital One Financial Corporation,0.679,0.095,0.796,1.165,232.45,143.22,0.1555742,buy,1.65217,260.2381,290.0,210.0,
PFE,Healthcare,Drug Manufacturers - General,145374579762.23633,United States,Pfizer Inc.,-0.059,-0.213,-0.207,,27.99,20.92,-0.111842096,buy,2.47826,28.70429,36.0,24.0,
SYK,Healthcare,Medical Devices,111981503129.80078,United States,Stryker Corporation,0.102,0.028,0.03,0.899,406.19,329.16,-0.017370343,buy,1.96774,428.52,465.0,316.0,
CRWD,Technology,Software - Infrastructure,61313821116.31445,United States,"CrowdStrike Holdings, Inc.",0.213,,,1.086,555.81,298.0,0.66849995,buy,1.90385,510.93332,706.0,330.0,
LOW,Consumer Cyclical,Home Improvement Retail,123134343382.63574,United States,"Lowe's Companies, Inc.",0.016,0.024,0.006,0.957,280.64,206.39,-0.091582954,buy,1.91429,281.46875,325.0,221.0,
UNP,Industrials,Railroads,143910059120.01367,United States,Union Pacific Corporation,0.025,0.095,0.07,1.001,256.84,204.66,-0.110990405,buy,1.84615,260.58334,294.0,213.0,
WELL,Real Estate,REIT - Healthcare Facilities,48102114577.94971,United States,Welltower Inc.,0.306,-0.437,-0.376,0.853,189.53,123.11,0.37914264,buy,1.66667,194.09525,246.0,158.0,
DE,Industrials,Farm & Heavy Construction Machinery,109289437903.49709,United States,Deere & Company,-0.086,-0.245,-0.257,1.008,533.78,387.03,0.1542728,buy,2.25,525.4036,724.0,440.0,
HON,Industrials,Conglomerates,125600585335.76074,United States,Honeywell International Inc.,0.07,0.324,0.292,0.945,228.81244,169.04807,-0.03676498,buy,1.91667,245.59799,286.0,210.0,
HOOD,Financial Services,Capital Markets,11017322685.907104,United States,"Robinhood Markets, Inc.",0.45,1.0,1.053,2.423,153.86,26.74,3.58138,buy,2.04,147.85481,170.0,115.951,
PGR,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
ADI,Technology,Semiconductors,95658781965.94336,United States,"Analog Devices, Inc.",0.246,0.316,0.322,1.05,258.13,158.65,0.013834238,buy,1.77143,269.90625,310.0,155.0,
MDT,Healthcare,Medical Devices,104220482927.59863,Ireland,Medtronic plc,0.084,0.013,-0.002,0.739,99.37,79.29,0.003440261,buy,2.1875,101.12885,115.0,81.0,
PLD,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
CEG,Utilities,Utilities - Independent Power Producers,36910894207.453125,United States,Constellation Energy Corporation,0.114,0.035,0.031,1.13,412.7,161.35,0.5439806,buy,1.6,400.14285,478.0,335.0,
BX,Financial Services,Asset Management,149772962619.74414,United States,Blackstone Inc.,-0.196,-0.214,-0.2,1.762,200.96,115.66,-0.19010091,buy,2.18182,179.77779,215.0,165.0,
CB,Financial Services,Insurance - Property & Casualty,90401668989.4336,Switzerland,Chubb Limited,0.091,0.226,0.205,0.527,306.91,252.16,0.020142078,hold,2.56522,307.5,340.0,267.0,
COP,Energy,Oil & Gas E&P,130787556586.71484,United States,ConocoPhillips,0.021,-0.212,-0.154,0.327,115.38,79.88,-0.2263487,buy,1.68966,113.77679,130.0,98.0,
LMT,Industrials,Aerospace & Defense,107250086292.31444,United States,Lockheed Martin Corporation,0.088,0.022,-0.002,0.234,576.43,410.11,-0.12112647,hold,2.57895,526.8823,630.0,430.0,
HCA,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
VRTX,Healthcare,Biotechnology,104848642899.77344,United States,Vertex Pharmaceuticals Incorporated,0.11,0.047,0.036,0.322,519.88,362.5,-0.14579451,buy,1.96875,480.2,604.0,330.0,
KKR,Financial Services,Asset Management,72887242077.78125,United States,KKR & Co. Inc.,0.219,-0.306,-0.236,1.999,170.4,86.15,-0.22315621,buy,1.57143,157.17368,188.0,139.0,
MCK,Healthcare,Medical Distribution,61115809473.81592,United States,McKesson Corporation,0.234,-0.107,-0.143,0.388,863.255,530.39,0.53223133,buy,1.6875,844.5714,920.0,680.0,
ADP,Technology,Software - Application,92322971025.48926,United States,"Automatic Data Processing, Inc.",0.071,0.064,0.059,0.858,329.93,255.16,-0.15059966,hold,2.9375,293.23077,332.0,245.0,
DELL,Technology,Computer Hardware,52650609031.8916,United States,Dell Technologies Inc.,0.19,0.382,0.312,1.091,168.08,66.25,0.1177448,buy,1.625,164.09091,200.0,130.0,
CMCSA,Communication Services,Telecom Services,165111780187.88867,United States,Comcast Corporation,-0.027,-0.042,-0.082,0.826,45.22,25.75,-0.39211345,hold,2.55172,35.10417,46.0,28.0,
SO,Utilities,Utilities - Regulated Electric,71958689013.20312,United States,The Southern Company,0.075,0.108,0.115,0.44,100.84,80.46,0.060741305,hold,2.52174,100.075,109.0,75.0,
CVS,Healthcare,Healthcare Plans,93533843902.21877,United States,CVS Health Corporation,0.078,,,0.482,85.15,43.56,0.2673267,buy,1.57143,91.52,103.0,77.0,
PH,Industrials,Specialty Industrial Machinery,58104031630.615234,United States,Parker-Hannifin Corporation,0.011,0.192,0.176,1.255,792.53,488.45,0.083908916,buy,1.78261,802.7143,910.0,500.0,
TT,Industrials,Building Products & Equipment,54569258286.859375,Ireland,Trane Technologies plc,0.055,0.114,0.098,1.187,476.19,298.15,0.10496092,hold,2.58333,478.575,550.0,415.0,
CME,Financial Services,Financial Data & Stock Exchanges,71411209322.03467,United States,CME Group Inc.,-0.03,-0.004,-0.005,0.297,290.79,213.94,0.21105933,buy,2.5,284.27777,314.0,201.0,
DUK,Utilities,Utilities - Regulated Electric,69950457813.5376,United States,Duke Energy Corporation,0.047,0.104,0.093,0.477,130.03,105.2,0.08976507,buy,2.18182,136.76471,150.0,121.0,
MO,Consumer Defensive,Tobacco,62431561913.663086,United States,"Altria Group, Inc.",-0.017,0.052,0.036,0.504,68.6,50.08,0.055627227,hold,2.66667,62.5,73.0,47.0,
BMY,Healthcare,Drug Manufacturers - General,94672689094.3711,United States,Bristol-Myers Squibb Company,0.028,0.809,0.818,0.309,63.33,42.52,-0.17528945,hold,2.69231,53.28571,68.0,36.0,
SBUX,Consumer Cyclical,Restaurants,104358128994.52637,United States,Starbucks Corporation,0.055,-0.854,-0.854,0.984,117.46,75.5,-0.17152375,buy,2.36111,94.16667,115.0,69.0,
GD,Industrials,Aerospace & Defense,68061470041.10303,United States,General Dynamics Corporation,0.106,0.158,0.139,0.403,360.5,239.2,0.113499284,buy,2.09524,379.1739,415.0,300.0,
NKE,Consumer Cyclical,Footwear & Accessories,159364653143.71875,United States,"NIKE, Inc.",0.011,-0.3,-0.308,1.293,82.44,52.28,-0.18706852,buy,2.025,83.27171,120.0,38.0,
CDNS,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
NEM,Basic Materials,Gold,45897905699.2793,United States,Newmont Corporation,0.2,1.081,0.987,0.441,98.58,36.86,0.7738309,buy,1.71429,103.415,120.0,62.0,
MMC,Financial Services,Insurance Brokers,90628388122.5586,United States,"Marsh & McLennan Companies, Inc.",0.115,0.0,0.0,0.754,248.0,174.18,-0.19148934,hold,2.57143,214.26315,258.0,181.0,
DASH,Consumer Cyclical,Internet Retail,39378886975.83252,United States,"DoorDash, Inc.",0.249,,,1.696,285.5,155.4,0.414348,buy,1.77273,302.775,360.0,205.0,
MMM,Industrials,Conglomerates,48094711213.62305,United States,3M Company,0.035,-0.375,-0.392,1.152,172.85,121.98,0.19914877,buy,1.94118,174.3125,212.0,110.0,
MCO,Financial Services,Financial Data & Stock Exchanges,70512910704.54492,United States,Moody's Corporation,0.107,0.229,0.21,1.455,531.93,378.71,0.057075977,buy,1.91667,544.6667,620.0,460.0,
COIN,Financial Services,Financial Data & Stock Exchanges,41609663881.92749,United States,"Coinbase Global, Inc.",0.589,4.306,4.73,3.675,444.65,142.58,0.20844638,buy,2.11765,386.37378,510.0,205.0,
AMT,Real Estate,REIT - Specialty,94954122855.09766,United States,American Tower Corporation,0.077,,,0.917,234.33,172.51,-0.086696684,buy,1.72727,232.0,260.0,200.0,
ICE,Financial Services,Financial Data & Stock Exchanges,72012375094.64453,United States,"Intercontinental Exchange, Inc.",0.026,0.246,0.242,1.059,189.35,142.29,-0.056550503,buy,1.66667,192.9375,218.0,164.0,
SHW,Basic Materials,Specialty Chemicals,78656661399.53613,United States,The Sherwin-Williams Company,0.032,0.053,0.033,1.242,400.42,308.84,-0.09915161,buy,2.07407,386.5238,422.0,261.0,
HWM,Industrials,Aerospace & Defense,22169731052.490234,United States,Howmet Aerospace Inc.,0.138,0.173,0.16,1.319,211.95,105.04,0.7849556,strong_buy,1.42857,225.49556,245.0,190.0,
NOC,Industrials,Aerospace & Defense,68516165380.18848,United States,Northrop Grumman Corporation,0.043,0.096,0.072,0.044,640.9,426.24,0.10322285,buy,2.1,664.8333,770.0,533.0,
WM,Industrials,Waste Management,70345107482.41406,United States,"Waste Management, Inc.",0.149,-0.207,-0.207,0.594,242.58,194.11,-0.08147198,buy,1.88,245.68182,270.0,198.0,
EQIX,Real Estate,REIT - Specialty,72884455684.94873,United States,"Equinix, Inc.",0.066,0.229,0.259,1.027,994.03,701.41,-0.06837523,buy,1.65517,965.56,1200.0,804.0,
JCI,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
ORLY,Consumer Cyclical,Auto Parts,3747254992.654419,United States,"O'Reilly Automotive, Inc.",0.078,0.117,0.091,0.621,108.72,78.3,0.14042056,buy,1.66667,109.91667,125.0,62.0,
UPS,Industrials,Integrated Freight & Logistics,121583155163.86523,United States,"United Parcel Service, Inc.",-0.037,-0.141,-0.148,1.096,138.67,82.0,-0.30368876,buy,2.23333,103.62069,122.0,75.0,
SNPS,Technology,Software - Infrastructure,78259626207.59766,United States,"Synopsys, Inc.",0.14,-0.427,-0.406,1.146,651.73,365.74,-0.24731088,buy,1.73913,556.4,630.0,425.0,
MAR,Consumer Cyclical,Lodging,65096771459.94141,United States,"Marriott International, Inc.",2.962,0.29,0.247,,307.52,205.4,-0.01455152,buy,2.42308,287.58334,332.0,205.0,
BK,Financial Services,Banks - Diversified,38056261794.48291,United States,The Bank of New York Mellon Corporation,0.1,0.253,0.223,1.123,110.87,70.46,0.3810742,buy,2.11765,118.1,133.0,90.0,
APO,Financial Services,Asset Management,51590681811.60303,United States,"Apollo Global Management, Inc.",0.132,-0.267,-0.261,1.61,189.49,102.58,-0.2026028,buy,1.84211,156.27647,177.0,117.7,
EMR,Industrials,Specialty Industrial Machinery,53915231883.47266,United States,Emerson Electric Co.,0.04,0.813,0.781,1.25,150.27,90.06,0.08576381,buy,1.81481,150.84615,183.0,111.0,
ABNB,Consumer Cyclical,Travel Services,87255667427.0498,United States,"Airbnb, Inc.",0.127,0.016,0.157,1.112,163.93,99.88,-0.1317153,hold,2.57778,137.88286,180.0,98.0,
CTAS,Industrials,Specialty Business Services,15060539199.951172,United States,Cintas Corporation,0.087,0.091,0.087,0.963,229.24,180.39,-0.151645,hold,2.7,217.4375,255.0,172.0,
GLW,Technology,Electronic Components,24851533154.070312,United States,Corning Incorporated,0.209,,,1.103,92.57,37.31,0.7663765,buy,1.69231,92.75,100.0,60.0,
TEL,Technology,Electronic Components,42408459759.74414,Ireland,TE Connectivity plc,0.167,1.444,1.402,1.239,250.67,116.3,0.5739305,buy,1.66667,268.375,293.0,200.0,
AON,Financial Services,Insurance Brokers,57434753141.11328,Ireland,Aon plc,0.074,0.344,0.335,0.837,412.97,323.73,-0.09722513,buy,2.0,402.94443,449.0,325.0,
ECL,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
PNC,Financial Services,Banks - Regional,57251287987.42773,United States,"The PNC Financial Services Group, Inc.",0.108,0.246,0.213,1.017,216.26,145.12,-0.10743034,buy,1.91304,220.9762,240.0,191.0,
MDLZ,Consumer Defensive,Confectioners,93884322365.17188,United States,"Mondelez International, Inc.",0.059,-0.095,-0.129,0.397,71.15,53.95,-0.1550399,buy,1.84615,69.34783,84.0,62.0,
USB,Financial Services,Banks - Regional,62282498571.25635,United States,U.S. Bancorp,0.072,0.185,0.167,1.115,53.98,35.18,-0.094225526,buy,1.95833,55.71739,70.0,50.0,
TDG,Industrials,Aerospace & Defense,49588665260.80322,United States,TransDigm Group Incorporated,0.093,0.064,0.067,0.923,1623.83,1183.6,-0.06555039,buy,1.55,1557.8948,1738.0,1370.0,
ITW,Industrials,Specialty Industrial Machinery,75653809624.63477,United States,Illinois Tool Works Inc.,0.023,-0.281,-0.292,1.153,279.13,214.66,-0.110901356,hold,3.33333,259.0,298.0,215.0,
RCL,Consumer Cyclical,Travel Services,32718138563.503902,United States,Royal Caribbean Cruises Ltd.,0.052,0.363,0.418,1.906,366.5,164.01,0.13563359,buy,1.73077,339.82608,415.0,223.0,
