,sector,industry,market_cap,country,full_name,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,enterprise_value,ev_to_ebitda,dividend_yield,dividend_rate,payout_ratio,five_year_avg_dividend_yield,profit_margins,operating_margins,gross_margins,roe,roa,revenue_growth,earnings_growth,earnings_quarterly_growth,beta,52week_high,52week_low,52week_change,current_ratio,quick_ratio,debt_to_equity,total_debt,total_cash,recommendation,recommendation_mean,target_mean_price,target_high_price,target_low_price,number_of_analysts,employees,exchange,quote_type,main_cluster,n_clusters
CVX,Energy,Oil & Gas Integrated,307038781440,United States,Chevron Corporation,19.56226,13.803442,,1.7984728,1.6222692,289570455552.0,7.909,4.5,6.84,0.8597,4.26,0.07247,0.09441,0.39169997,0.08963,0.04756,-0.107,-0.404,-0.438,0.813,168.96,132.04,0.028497934,0.996,0.62,20.01,29467000832.0,4065999872.0,buy,2.16,170.30435,197.0,124.0,23.0,45298.0,NYQ,EQUITY,cube2_cluster0,2
KO,Consumer Defensive,Beverages - Non-Alcoholic,290540584960,United States,The Coca-Cola Company,23.687721,22.73064,,10.165638,6.1735706,328053587968.0,20.775,3.05,2.04,0.7057,2.95,0.25887,0.34662998,0.61425,0.42369998,0.08941,0.014,0.573,0.58,0.424,74.38,60.62,-0.050327003,1.213,0.841,166.367,50212999168.0,14296999936.0,buy,1.56,77.48696,85.0,70.0,23.0,69700.0,NYQ,EQUITY,cube2_cluster0,2
CSCO,Technology,Communication Equipment,271426519040,United States,"Cisco Systems, Inc.",26.407694,17.60513,,5.804379,4.790951,284396486656.0,18.494,2.43,1.64,0.6353,2.95,0.17969,0.21277,0.64938,0.22059,0.06342,0.076,0.186,0.179,0.966,72.55,52.11,0.24741125,0.998,0.802,63.282,29642999808.0,16673000448.0,buy,2.11538,76.29095,87.0,61.0,21.0,86200.0,NMS,EQUITY,cube3_cluster0,2
WFC,Financial Services,Banks - Diversified,270882979840,United States,Wells Fargo & Company,14.529209,15.402551,,1.6553775,3.4899504,270150582272.0,,2.28,1.8,0.2749,2.32,0.26516,0.33103,0.0,0.114980005,0.01059,0.019,0.203,0.119,1.24,86.66,58.42,0.25210214,,,,381009985536.0,382125998080.0,buy,2.07692,89.3125,100.0,72.0,24.0,212804.0,NYQ,EQUITY,cube3_cluster0,2
TMUS,Communication Services,Telecom Services,258193620992,United States,"T-Mobile US, Inc.",21.22294,21.501406,,4.232919,3.071832,366615625728.0,11.432,1.81,4.08,0.3107,,0.14533,0.24669,0.63676,0.19743,0.05765,0.069,0.141,0.102,0.583,276.49,208.39,0.036999464,1.211,0.893,194.218,118681001984.0,10259000320.0,buy,2.1,274.22537,309.0,200.0,26.0,70000.0,NMS,EQUITY,cube2_cluster0,2
IBM,Technology,Information Technology Services,258235744256,United States,International Business Machines Corporation,44.612278,26.027332,,9.35119,4.032413,309590032384.0,21.828,2.42,6.72,1.079,4.27,0.091079995,0.18319,0.5757,0.22665001,0.048130002,0.077,0.177,0.196,0.724,301.04,203.51,0.18998969,0.908,0.76,245.465,67719000064.0,15447000064.0,hold,2.52381,282.82526,350.0,198.0,19.0,270300.0,NYQ,EQUITY,cube3_cluster0,2
MS,Financial Services,Capital Markets,247974789120,United States,Morgan Stanley,17.572397,19.588903,,2.5222855,3.779412,175002796032.0,,2.58,4.0,0.41900003,2.96,0.22489999,0.34117,0.86474997,0.14128,0.01161,0.111,0.17,0.151,1.324,163.98,94.33,0.38237393,2.135,1.7,438.541,479193989120.0,563002015744.0,buy,2.48,154.75,180.0,122.0,20.0,80000.0,NYQ,EQUITY,cube3_cluster0,2
PM,Consumer Defensive,Tobacco,248229314560,United States,Philip Morris International Inc.,23.600893,22.093058,,-20.69338,6.3554025,296912650240.0,16.645,3.69,5.88,0.7989,4.9,0.21076,0.50089,0.66440004,,0.14794,0.071,0.264,0.263,0.479,186.69,116.12,0.3242817,0.83,0.356,,51492999168.0,4140999936.0,buy,1.76471,188.33333,220.0,153.0,15.0,83100.0,NYQ,EQUITY,cube3_cluster0,2
CAT,Industrials,Farm & Heavy Construction Machinery,247108550656,United States,Caterpillar Inc.,26.856924,23.813543,,13.242035,3.913723,272791420928.0,19.475,1.2,6.04,0.2872,1.88,0.14946,0.17738001,0.3103,0.52711,0.08555,-0.007,-0.157,-0.187,1.465,531.56,267.3,0.30096138,1.338,0.731,218.336,40747999232.0,4428000256.0,buy,2.04,483.68274,650.0,350.0,22.0,112900.0,NYQ,EQUITY,cube3_cluster0,2
GS,Financial Services,Capital Markets,238174912512,United States,"The Goldman Sachs Group, Inc.",17.332134,18.545717,,2.2996368,4.3467336,13534827520.0,,2.03,16.0,0.2643,2.22,0.28401,0.35735,0.82781,0.12739,0.0090499995,0.141,0.266,0.223,1.415,825.25,439.38,0.506145,1.59,1.422,588.392,732189032448.0,983175987200.0,hold,2.625,764.6842,892.0,570.0,19.0,45900.0,NYQ,EQUITY,cube3_cluster0,2
ABT,Healthcare,Medical Devices,231950974976,United States,Abbott Laboratories,16.473425,25.82752,,4.587134,5.38057,238402977792.0,20.816,1.8,2.36,0.2861,1.7,0.32426998,0.19726999,0.56318,0.30931,0.06617,0.074,0.365,0.366,0.696,141.23,110.86,0.1320982,1.821,1.135,26.501,13470000128.0,7281999872.0,buy,1.7931,143.31232,159.0,122.0,26.0,114000.0,NYQ,EQUITY,cube3_cluster0,2
AXP,Financial Services,Credit Services,231624409088,United States,American Express Company,23.357895,22.01389,,7.169783,3.651366,227814457344.0,,0.98,3.16,0.21350001,1.16,0.15994,0.21002,0.64247,0.32808,0.03574,0.092,-0.017,-0.043,1.294,349.19,220.43,0.16519415,1.603,1.587,187.933,60722999296.0,57762000896.0,hold,2.58621,334.41125,394.0,265.0,24.0,75100.0,NYQ,EQUITY,cube2_cluster0,2
CRM,Technology,Software - Application,236810010624,United States,"Salesforce, Inc.",36.10994,21.542677,,3.7336884,5.9948864,224698040320.0,19.676,0.67,1.66,0.23719999,,0.16868,0.22820999,0.77649003,0.11201999,0.055209998,0.098,0.333,0.32,1.195,369.0,226.48,-0.1373331,1.124,0.931,19.255,11809000448.0,15372000256.0,buy,1.6,331.7951,430.0,221.0,51.0,76453.0,NYQ,EQUITY,cube0_cluster0,2
MCD,Consumer Cyclical,Restaurants,217335365632,United States,McDonald's Corporation,25.701265,24.15226,,-78.738365,8.3398075,271348367360.0,19.149,2.36,7.08,0.5981,2.21,0.32206002,0.47669,0.56992,,0.13256,0.054,0.121,0.114,0.504,326.32,276.53,-0.0422225,1.303,1.03,,55892000768.0,1879000064.0,buy,2.25,331.17242,381.0,250.0,29.0,150000.0,NYQ,EQUITY,cube2_cluster0,2
LIN,Basic Materials,Specialty Chemicals,215346708480,United Kingdom,Linde plc,32.66358,27.094395,,5.591268,6.4775667,236727844864.0,18.253,1.31,6.0,0.4108,1.33,0.20196,0.28264,0.48446,0.17312999,0.06949,0.028,0.084,0.062,0.94,487.49,408.65,-0.050071776,0.926,0.698,64.823,25920000000.0,4785999872.0,buy,1.72,513.13635,576.0,381.0,22.0,64842.0,NMS,EQUITY,cube3_cluster0,2
RTX,Industrials,Aerospace & Defense,213363556352,United States,RTX Corporation,35.11013,26.088379,,3.4194267,2.5522263,253289365504.0,18.006,1.71,2.72,0.5648,2.32,0.073520005,0.11547,0.20049,0.10318,0.03695,0.094,14.25,13.928,0.648,170.85,112.27,0.27049506,1.006,0.605,67.855,43595001856.0,4782000128.0,buy,1.94737,174.05556,200.0,134.0,18.0,186000.0,NYQ,EQUITY,cube4_cluster0,2
MRK,Healthcare,Drug Manufacturers - General,214060007424,United States,"Merck & Co., Inc.",13.213728,9.010638,,4.3273897,3.364877,238409236480.0,8.415,3.78,3.24,0.49310002,3.04,0.25789,0.37473,0.77411,0.35421002,0.13007,-0.019,-0.178,-0.188,0.373,111.58,73.31,-0.23159689,1.424,0.82,72.161,35401998336.0,8622000128.0,buy,2.0,101.8412,137.0,82.0,25.0,73000.0,NYQ,EQUITY,cube1_cluster1,2
MU,Technology,Semiconductors,209968496640,United States,"Micron Technology, Inc.",24.613157,14.534576,,3.8748834,5.6174355,221422780416.0,12.24,0.24,0.46,0.060599998,0.33,0.22845,0.32638,0.39791,0.17198999,0.08055,0.46,2.569,2.609,1.567,201.0,61.54,0.8478719,2.518,1.709,28.343,15352000512.0,10307000320.0,buy,1.51282,200.55556,270.0,107.0,36.0,53000.0,NMS,EQUITY,cube4_cluster1,2
PEP,Consumer Defensive,Beverages - Non-Alcoholic,207206711296,United States,"PepsiCo, Inc.",28.325233,17.559675,,10.700466,2.258433,249549717504.0,14.655,3.82,5.69,1.0561,2.92,0.08229,0.16903,0.54685,0.39859,0.08514,0.027,-0.108,-0.112,0.458,177.5,127.6,-0.15355313,0.775,0.559,260.19,50849001472.0,8661000192.0,hold,2.73913,153.4762,172.0,115.0,21.0,319000.0,NMS,EQUITY,cube2_cluster0,2
DIS,Communication Services,Entertainment,199876296704,United States,The Walt Disney Company,17.262423,21.586407,,1.8303505,2.11431,241383309312.0,12.384,0.91,1.0,0.22729999,1.38,0.12219,0.15696,0.37612998,0.1146,0.04524,0.021,1.042,1.008,1.542,124.69,80.1,0.17034602,0.722,0.569,37.152,42262999040.0,5367000064.0,buy,1.625,133.96896,160.0,79.0,29.0,177080.0,NYQ,EQUITY,cube2_cluster0,2
APP,Communication Services,Advertising Agencies,199604666368,United States,AppLovin Corporation,81.271355,114.34691,,171.27142,34.788933,201895952384.0,58.853,,,0.0,,0.42345002,0.76082003,0.78610003,2.53772,0.32546002,0.77,1.688,1.644,2.527,745.61,139.4,3.1034002,2.736,2.536,300.821,3510958080.0,1192608000.0,buy,1.73077,632.0,860.0,250.0,23.0,1533.0,NMS,EQUITY,cube3_cluster1,2
TMO,Healthcare,Diagnostics & Research,198559793152,United States,Thermo Fisher Scientific Inc.,30.307205,22.385271,,3.93094,4.595015,227489775616.0,21.027,0.33,1.72,0.0949,0.24,0.15237,0.17844,0.41278,0.13418001,0.04973,0.03,0.059,0.045,0.775,610.97,385.46,-0.1264571,1.933,1.291,69.618,35228999680.0,6390000128.0,buy,1.65385,559.00726,650.0,500.0,22.0,125000.0,NYQ,EQUITY,cube2_cluster0,2
UBER,Technology,Software - Application,196550705152,United States,"Uber Technologies, Inc.",16.028912,39.936443,,8.703481,4.152684,202554703872.0,38.729,,,0.0,,0.26676,0.11462,0.33929002,0.67485,0.05781,0.182,0.355,0.335,1.479,101.99,59.33,0.13076925,1.112,0.928,52.23,12341999616.0,7369999872.0,buy,1.6,107.88,150.0,82.0,50.0,32700.0,NYQ,EQUITY,cube3_cluster0,2
NOW,Technology,Software - Application,191685312512,United States,"ServiceNow, Inc.",116.23214,54.566463,,17.298025,15.898259,185380765696.0,80.811,,,0.0,,0.13776,0.12068,0.78519,0.16951,0.05167,0.224,0.46,0.469,0.923,1198.09,678.66,-0.00459069,1.092,0.921,22.036,2408999936.0,6131999744.0,strong_buy,1.45455,1147.1421,1300.0,734.0,39.0,26293.0,NYQ,EQUITY,cube1_cluster1,2
T,Communication Services,Telecom Services,186839564288,United States,AT&T Inc.,14.597765,11.665178,,1.7775509,1.506965,346363559936.0,7.764,4.34,1.11,0.6343,6.69,0.10288999,0.22725001,0.59666,0.11529,0.04167,0.035,0.263,0.251,0.624,29.79,21.05,0.18967927,0.809,0.507,123.191,151988994048.0,10570000384.0,buy,2.03704,30.6584,34.0,20.71,25.0,137550.0,NYQ,EQUITY,cube3_cluster0,2
BLK,Financial Services,Asset Management,184935153664,United States,"BlackRock, Inc.",27.935907,24.323015,,3.8961513,8.572529,184387190784.0,21.525,1.8,20.84,0.4984,2.34,0.29685,0.34225,0.4902,0.13921,0.03609,0.129,0.02,0.066,1.462,1209.82,773.74,0.14709032,2.308,1.647,28.507,14709999616.0,11658000384.0,buy,1.58824,1259.125,1394.0,1000.0,16.0,22700.0,NYQ,EQUITY,cube2_cluster0,2
C,Financial Services,Banks - Diversified,183795236864,United States,Citigroup Inc.,14.747415,13.885952,,0.9335814,2.523793,-18032711680.0,,2.5,2.4,0.3309,3.6,0.19466999,0.27649,0.0,0.06759,0.00569,0.071,0.285,0.249,1.357,105.59,55.51,0.5341635,,,,778903027712.0,991104008192.0,buy,1.90909,110.64286,129.0,82.0,21.0,230000.0,NYQ,EQUITY,cube3_cluster0,2
INTU,Technology,Software - Application,183219486720,United States,Intuit Inc.,48.07315,29.561853,,9.306501,9.729674,,,0.66,4.32,0.3043,0.58,0.20546,0.15697,0.80394,0.20285,0.08934,0.41,-0.185,-0.146,1.253,813.7,532.65,0.06115973,1.36,0.495,,,,buy,1.69697,811.781,971.0,600.0,30.0,18200.0,NMS,EQUITY,cube2_cluster0,2
GEV,Industrials,Specialty Industrial Machinery,176469164032,United States,GE Vernova Inc.,156.41019,93.392746,,19.76172,4.8195868,170060824576.0,70.302,0.15,1.0,0.12109999,,0.031570002,0.059159998,0.18468,0.11412,0.01792,0.111,-0.6,-0.603,,677.29,252.25,1.4337363,1.028,0.669,10.646,1059000000.0,7491999744.0,buy,1.87097,664.67224,760.0,280.0,27.0,76800.0,NYQ,EQUITY,cube3_cluster1,2
QCOM,Technology,Semiconductors,174517469184,United States,QUALCOMM Incorporated,15.627053,13.224858,,6.443568,4.034433,179337625600.0,12.929,2.2,3.56,0.33200002,2.08,0.26766002,0.26647,0.55681,0.44615,0.14174,0.103,0.294,0.252,1.227,182.1,120.8,-0.07071054,3.194,1.721,54.35,14787999744.0,10010999808.0,buy,2.30556,178.89615,225.0,140.0,26.0,49000.0,NMS,EQUITY,cube2_cluster0,2
ANET,Technology,Computer Hardware,185324797952,United States,Arista Networks Inc,57.829163,14.264132,,16.00069,23.308523,165595938816.0,47.713,,,0.0,,0.40895,0.4473,0.64236,0.33638,0.15227,0.304,0.346,0.336,1.475,162.68,59.43,0.50340295,3.333,2.584,,0.0,8844399616.0,buy,1.57143,157.67,185.0,111.0,24.0,4412.0,NYQ,EQUITY,cube3_cluster1,2
LRCX,Technology,Semiconductor Equipment & Materials,174413381632,United States,Lam Research Corporation,33.247597,32.3911,,17.793644,9.460689,173413941248.0,27.582,0.75,1.04,0.2217,1.05,0.29065,0.33668,0.48705003,0.58238,0.18399,0.336,0.722,0.686,1.841,153.7,56.32,0.80474067,2.21,1.487,48.233,4756554752.0,6390659072.0,buy,1.73529,127.65567,175.0,80.0,30.0,19000.0,NMS,EQUITY,cube4_cluster1,2
NEE,Utilities,Utilities - Regulated Electric,174298513408,United States,"NextEra Energy, Inc.",29.388887,23.0,,3.431305,6.7299323,275894534144.0,18.841,2.69,2.27,0.7537,2.41,0.22850001,0.33851,0.61974996,0.07592,0.02708,0.104,0.241,0.25,0.652,86.0,61.72,0.018238902,0.542,0.333,152.939,93188997120.0,1728000000.0,buy,2.0,86.05882,103.0,56.0,17.0,16800.0,NYQ,EQUITY,cube3_cluster0,2
